symbol,yfinance_symbol,name,sector,exchange
HIW,HIW,HIGHWOODS PROPERTIES REIT INC,Real Estate,NYSE
WSBC,WSBC,WESBANCO INC,Financials,NASDAQ
DIOD,DIOD,DIODES INC,Information Technology,NASDAQ
APLE,APLE,APPLE HOSPITALITY REIT INC,Real Estate,NYSE
UCTT,UCTT,ULTRA CLEAN HOLDINGS INC,Information Technology,NASDAQ
CRC,CRC,CALIFORNIA RESOURCES CORP,Energy,NYSE
QTWO,QTWO,Q2 HOLDINGS INC,Information Technology,NYSE
TENB,TENB,TENABLE HOLDINGS INC,Information Technology,NASDAQ
ADPT,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,NASDAQ
NSIT,NSIT,INSIGHT ENTERPRISES INC,Information Technology,NASDAQ
KAI,KAI,KADANT INC,Industrials,NYSE
NHI,NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,NYSE
CON,CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care,NYSE
DORM,DORM,DORMAN PRODUCTS INC,Consumer Discretionary,NASDAQ
TDW,TDW,TIDEWATER INC,Energy,NYSE
ONDS,ONDS,ONDAS INC,Information Technology,NASDAQ
LASR,LASR,NLIGHT INC,Information Technology,NASDAQ
CLSK,CLSK,CLEANSPARK INC,Information Technology,NASDAQ
RELY,RELY,REMITLY GLOBAL INC,Financials,NASDAQ
GNW,GNW,GENWORTH FINANCIAL INC,Financials,NYSE
PLMR,PLMR,PALOMAR HOLDINGS INC,Financials,NASDAQ
DNLI,DNLI,DENALI THERAPEUTICS INC,Health Care,NASDAQ
MIR,MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,NYSE
OPEN,OPEN,OPENDOOR TECHNOLOGIES INC CLASS A,Real Estate,NASDAQ
OPCH,OPCH,OPTION CARE HEALTH INC,Health Care,NASDAQ
LXP,LXP,LXP INDUSTRIAL TRUST,Real Estate,NYSE
FIBK,FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials,NASDAQ
FFBC,FFBC,FIRST FINANCIAL BANCORP,Financials,NASDAQ
MIAX,MIAX,MIAMI INTERNATIONAL HOLDINGS INC,Financials,NYSE
OSIS,OSIS,OSI SYSTEMS INC,Information Technology,NASDAQ
STNG,STNG,SCORPIO TANKERS INC,Energy,NYSE
SHOO,SHOO,STEVEN MADDEN LTD,Consumer Discretionary,NASDAQ
PRK,PRK,PARK NATIONAL CORP,Financials,NYSE American
LRN,LRN,STRIDE INC,Consumer Discretionary,NYSE
SXI,SXI,STANDEX INTERNATIONAL CORP,Industrials,NYSE
LGN,LGN,LEGENCE CORP CLASS A,Industrials,NASDAQ
LMND,LMND,LEMONADE INC,Financials,NYSE
GPI,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,NYSE
BKD,BKD,BROOKDALE SENIOR LIVING INC,Health Care,NYSE
OTTR,OTTR,OTTER TAIL CORP,Utilities,NASDAQ
NATL,NATL,NCR ATLEOS CORP,Financials,NYSE
PTEN,PTEN,PATTERSON UTI ENERGY INC,Energy,NASDAQ
AVA,AVA,AVISTA CORP,Utilities,NYSE
TOWN,TOWN,TOWNEBANK,Financials,NASDAQ
CECO,CECO,CECO ENVIRONMENTAL CORP,Industrials,NASDAQ
AAP,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,NYSE
RXO,RXO,RXO INC,Industrials,NYSE
ITGR,ITGR,INTEGER HOLDINGS CORP,Health Care,NYSE
KBH,KBH,KB HOME,Consumer Discretionary,NYSE
STEP,STEP,STEPSTONE GROUP INC CLASS A,Financials,NASDAQ
CBU,CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,NYSE
ACAD,ACAD,ACADIA PHARMACEUTICALS INC,Health Care,NASDAQ
POWI,POWI,POWER INTEGRATIONS INC,Information Technology,NASDAQ
AWR,AWR,AMERICAN STATES WATER,Utilities,NYSE
AVNT,AVNT,AVIENT CORP,Materials,NYSE
GFF,GFF,GRIFFON CORP,Industrials,NYSE
NMIH,NMIH,NMI HOLDINGS INC,Financials,NASDAQ
ASH,ASH,ASHLAND INC,Materials,NYSE
CELC,CELC,CELCUITY INC,Health Care,NASDAQ
SBCF,SBCF,SEACOAST BANKING OF FLORIDA,Financials,NASDAQ
IMVT,IMVT,IMMUNOVANT INC,Health Care,NASDAQ
TDS,TDS,TELEPHONE AND DATA SYSTEMS INC,Communication,NYSE
MMS,MMS,MAXIMUS INC,Industrials,NYSE
NIC,NIC,NICOLET BANKSHARES INC,Financials,NYSE
LEU,LEU,CENTRUS ENERGY CORP CLASS A,Energy,NYSE
SFNC,SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials,NASDAQ
CWK,CWK,CUSHMAN AND WAKEFIELD LTD,Real Estate,NYSE
HP,HP,HELMERICH & PAYNE INC,Energy,NYSE
FSLY,FSLY,FASTLY INC CLASS A,Information Technology,NASDAQ
ALHC,ALHC,ALIGNMENT HEALTHCARE INC,Health Care,NASDAQ
KNSA,KNSA,KINIKSA PHARMACEUTICALS INTERNATIO,Health Care,NASDAQ
